transaction_id,transaction_timestamp,product_id,warehouse,transaction_type,quantity
TRX-00060,2026-08-06T22:42:00,P2002,Heredia,RECEIPT,35
TRX-00061,2026-08-01T17:29:00,P2001,Heredia,SALE,2
TRX-00062,2026-08-24T06:13:00,P3003,Heredia,ADJUSTMENT,-4
TRX-00063,2026-09-07T22:04:00,P2001,San Jose,RECEIPT,32
TRX-00064,2026-09-05T21:34:00,P2002,Heredia,SALE,8
TRX-00065,2026-08-29T19:52:00,P2001,Heredia,SALE,1
TRX-00066,2026-09-10T09:56:00,P2001,San Jose,ADJUSTMENT,-4
TRX-00067,2026-09-02T00:35:00,P2001,San Jose,RECEIPT,16
TRX-00068,2026-08-31T22:21:00,P2001,San Jose,SALE,4
TRX-00069,2026-08-22T21:31:00,P4001,Cartago,SALE,5
TRX-00070,2026-08-05T06:40:00,P5002,Cartago,ADJUSTMENT,-5
TRX-00071,2026-08-15T13:49:00,P5001,San Jose,SALE,1
TRX-00072,2026-09-01T23:28:00,P4001,Heredia,ADJUSTMENT,-3
TRX-00073,2026-08-06T02:04:00,P4002,Heredia,SALE,1
TRX-00074,2026-09-05T22:23:00,P5002,Heredia,RECEIPT,12
TRX-00075,2026-08-03T02:19:00,P3002,Cartago,RECEIPT,18
TRX-00076,2026-09-08T16:22:00,P5002,San Jose,ADJUSTMENT,-5
TRX-00077,2026-08-16T10:49:00,P4001,Heredia,RECEIPT,16
TRX-00078,2026-09-02T07:09:00,P5002,San Jose,RETURN,5
TRX-00079,2026-09-07T22:26:00,P5001,San Jose,RECEIPT,21
TRX-00080,2026-09-03T17:59:00,P1003,Cartago,SALE,6
TRX-00081,2026-08-12T17:10:00,P4003,Heredia,SALE,4
TRX-00082,2026-09-06T23:30:00,P1002,San Jose,SALE,1
TRX-00083,2026-08-16T06:19:00,P1004,San Jose,RETURN,4
TRX-00084,2026-08-18T08:21:00,P1004,Cartago,RECEIPT,22
TRX-00085,2026-08-16T07:41:00,P5001,Heredia,RECEIPT,27
TRX-00086,2026-09-10T09:01:00,P2003,San Jose,SALE,6
TRX-00087,2026-08-26T02:16:00,P5002,San Jose,ADJUSTMENT,-3
TRX-00088,2026-09-01T10:50:00,P1002,Cartago,SALE,6
TRX-00089,2026-08-17T18:57:00,P2003,Heredia,SALE,2
TRX-00090,2026-08-01T09:33:00,P1004,Heredia,SALE,7
TRX-00091,2026-08-16T20:27:00,P4001,San Jose,SALE,4
TRX-00092,2026-08-14T17:42:00,P4001,San Jose,ADJUSTMENT,4
TRX-00093,2026-08-14T12:42:00,P4002,Cartago,ADJUSTMENT,3
TRX-00094,2026-08-24T23:08:00,P2002,San Jose,SALE,5
TRX-00095,2026-08-30T05:47:00,P2003,San Jose,SALE,7
TRX-00096,2026-08-24T17:53:00,P3003,San Jose,SALE,7
TRX-00097,2026-09-03T20:37:00,P2001,Heredia,SALE,7
TRX-00098,2026-08-20T04:43:00,P4001,San Jose,SALE,8
TRX-00099,2026-08-29T10:05:00,P3002,Cartago,SALE,3
TRX-00100,2026-08-05T07:52:00,P3002,San Jose,SALE,6
TRX-00101,2026-08-07T14:01:00,,San Jose,SALE,4
TRX-00102,2026-09-06T14:49:00,P1004,San Jose,ADJUSTMENT,4
TRX-00103,2026-08-31T23:44:00,P3001,Cartago,SALE,4
TRX-00104,2026-08-29T07:44:00,P3001,San Jose,SALE,3
TRX-00105,2026-09-03T13:27:00,P5002,San Jose,SALE,2
TRX-00106,2026-08-21T03:03:00,P1003,Heredia,RETURN,5
TRX-00107,2026-08-20T19:08:00,P1004,Cartago,ADJUSTMENT,-4
TRX-00108,2026-09-10T20:48:00,P4001,Cartago,SALE,6
TRX-00109,2026-08-19T12:53:00,P3003,Heredia,RETURN,5
TRX-00110,2026-08-20T12:16:00,P3001,San Jose,RETURN,4
TRX-00111,2026-08-28T01:15:00,P5001,Cartago,SALE,8
TRX-00112,2026-08-11T08:17:00,P3001,Cartago,RECEIPT,28
TRX-00113,2026-08-07T05:09:00,P2002,San Jose,RETURN,1
TRX-00114,2026-08-04T01:26:00,P2003,Cartago,SALE,4
TRX-00115,2026-08-03T23:13:00,P2002,Cartago,SALE,7
TRX-00116,2026-09-10T16:44:00,P2003,San Jose,ADJUSTMENT,4
TRX-00117,2026-08-17T13:30:00,P5001,San Jose,RETURN,5
TRX-00118,2026-09-06T17:57:00,P2002,Cartago,SALE,7
TRX-00119,2026-08-22T03:14:00,P3002,Cartago,SALE,4
TRX-00120,2026-08-15T16:42:00,P2003,Heredia,SALE,7
TRX-00121,2026-09-06T04:29:00,P4003,San Jose,SALE,3
TRX-00122,2026-08-26T14:36:00,P3003,Heredia,SALE,7
TRX-00123,2026-08-07T02:55:00,P1001,Cartago,RECEIPT,37
TRX-00124,2026-08-15T07:13:00,P1003,Cartago,RECEIPT,34
TRX-00125,2026-08-13T04:48:00,P2002,Cartago,SALE,7
TRX-00126,2026-08-02T03:47:00,P2001,Heredia,RETURN,4
TRX-00127,2026-08-10T21:41:00,P1001,San Jose,ADJUSTMENT,0
TRX-00128,2026-09-02T12:01:00,P4003,San Jose,ADJUSTMENT,-5
TRX-00129,2026-08-07T20:15:00,P1004,San Jose,RETURN,5
TRX-00130,2026-08-21T04:44:00,P3001,Cartago,SALE,4
TRX-00131,2026-09-03T12:52:00,P4003,San Jose,SALE,2
TRX-00132,2026-09-09T23:19:00,P2001,Heredia,RECEIPT,11
TRX-00133,2026-08-18T06:45:00,P4001,San Jose,ADJUSTMENT,1
TRX-00134,2026-08-05T16:44:00,P1002,Cartago,SALE,4
TRX-00135,2026-09-04T07:36:00,P5001,San Jose,SALE,2
TRX-00136,2026-08-04T06:32:00,P2002,Heredia,SALE,6
TRX-00137,2026-09-05T10:31:00,P2002,San Jose,RECEIPT,36
TRX-00138,2026-09-08T08:53:00,P2003,Cartago,ADJUSTMENT,5
TRX-00139,2026-09-01T15:33:00,P4002,Heredia,RECEIPT,21
TRX-00140,2026-08-21T04:27:00,P2001,Heredia,SALE,8
TRX-00141,2026-09-05T18:59:00,P3003,San Jose,SALE,4
TRX-00142,2026-09-02T08:29:00,P2001,Heredia,RETURN,2
TRX-00143,2026-08-02T13:31:00,P3003,Cartago,SALE,6
TRX-00144,2026-09-04T08:16:00,P1003,Cartago,SALE,6
TRX-00145,2026-08-25T01:00:00,P2001,Heredia,RETURN,3
TRX-00146,2026-08-22T04:35:00,P1004,San Jose,RECEIPT,36
TRX-00147,2026-08-20T10:50:00,P4002,San Jose,SALE,8
TRX-00148,2026-08-30T20:15:00,P1002,Cartago,SALE,7
TRX-00149,2026-08-24T22:33:00,P4001,Cartago,SALE,8
TRX-00150,2026-08-15T10:22:00,P2003,Heredia,ADJUSTMENT,3
TRX-00151,2026-08-11T04:07:00,P3001,Heredia,SALE,5
TRX-00152,2026-08-09T12:13:00,P1004,Heredia,SALE,3
TRX-00153,2026-08-05T14:53:00,P3001,San Jose,SALE,5
TRX-00154,2026-08-14T05:00:00,P2001,Heredia,RECEIPT,21
TRX-00155,2026-09-11T21:03:00,P3002,Heredia,RECEIPT,12
TRX-00156,2026-08-28T13:55:00,P2001,Cartago,SALE,3
TRX-00157,2026-08-13T11:30:00,P1002,Cartago,RETURN,5
TRX-00158,2026-08-12T02:55:00,P3001,Cartago,SALE,1
TRX-00159,2026-08-22T07:04:00,P1002,Heredia,RETURN,4
TRX-00160,2026-08-07T16:51:00,P4001,Heredia,SALE,3
TRX-00161,2026-08-06T09:35:00,P2001,Cartago,RECEIPT,25
TRX-00162,2026-09-03T10:33:00,P3003,Cartago,SALE,4
TRX-00163,2026-09-07T00:37:00,P3001,Cartago,ADJUSTMENT,-1
TRX-00164,2026-08-27T08:47:00,P2001,San Jose,SALE,1
TRX-00165,2026-08-12T14:42:00,P4003,San Jose,RECEIPT,23
TRX-00166,2026-08-04T12:10:00,P1003,San Jose,RECEIPT,45
TRX-00167,2026-08-13T18:02:00,P2003,San Jose,SALE,8
TRX-00168,2026-08-04T08:43:00,P2001,San Jose,SALE,8
TRX-00169,2026-08-19T11:07:00,P5002,Heredia,SALE,4
TRX-00170,2026-09-05T14:09:00,P1004,San Jose,SALE,5
TRX-00171,2026-08-26T17:47:00,P1001,Heredia,RECEIPT,29
TRX-00172,2026-08-21T07:44:00,P5002,Cartago,SALE,2
TRX-00173,2026-08-22T16:34:00,P4002,Cartago,SALE,5
TRX-00174,2026-09-08T06:27:00,P3001,Heredia,RECEIPT,12
TRX-00175,2026-08-05T05:14:00,P2002,Heredia,SALE,1
TRX-00176,2026-09-10T21:01:00,P5001,Heredia,RETURN,5
TRX-00177,2026-09-02T21:48:00,P5001,San Jose,SALE,1
TRX-00178,2026-09-09T10:17:00,P3001,San Jose,SALE,8
TRX-00179,2026-09-11T16:05:00,P3003,Cartago,SALE,8
TRX-00180,2026-08-29T22:06:00,P2002,San Jose,SALE,6
TRX-00181,2026-08-13T15:42:00,P2002,Cartago,SALE,8
TRX-00182,2026-08-20T17:05:00,P5001,Cartago,SALE,1
TRX-00183,2026-09-07T05:32:00,P2001,San Jose,SALE,7
TRX-00184,2026-08-18T23:03:00,P4001,San Jose,RETURN,4
TRX-00185,2026-08-28T00:28:00,P3002,San Jose,SALE,8
TRX-00186,2026-09-09T21:18:00,P1004,Cartago,SALE,3
TRX-00187,2026-08-02T13:40:00,P5002,Heredia,SALE,2
TRX-00188,2026-08-14T14:35:00,P4003,San Jose,RECEIPT,20
TRX-00189,2026-09-06T05:58:00,P3002,San Jose,SALE,4
TRX-00190,2026-09-05T20:09:00,P3001,Cartago,ADJUSTMENT,5
TRX-00191,2026-08-19T01:53:00,P5002,Cartago,SALE,5
TRX-00192,2026-08-07T12:24:00,P3001,San Jose,RECEIPT,45
TRX-00193,2026-09-07T04:04:00,P5002,Cartago,SALE,3
TRX-00194,2026-08-15T20:59:00,P4003,Heredia,SALE,7
TRX-00195,2026-09-01T07:19:00,P2001,Heredia,RETURN,3
TRX-00196,2026-09-07T06:09:00,P3003,Cartago,ADJUSTMENT,2
TRX-00197,2026-08-24T21:48:00,P3002,Heredia,SALE,6
TRX-00198,2026-09-07T10:12:00,P2003,Heredia,SALE,6
TRX-00199,2026-09-06T20:49:00,P1004,Cartago,SALE,4
TRX-00200,2026-08-31T10:58:00,P1001,Cartago,SALE,8
TRX-00201,2026-08-07T19:31:00,P2003,San Jose,ADJUSTMENT,INVALID
TRX-00202,2026-09-07T10:06:00,P1003,Cartago,SALE,6
TRX-00203,2026-08-01T23:46:00,P1002,San Jose,SALE,8
TRX-00204,2026-08-04T12:30:00,P2003,Cartago,RETURN,2
TRX-00205,2026-08-29T01:05:00,P2002,Cartago,SALE,7
TRX-00206,2026-09-11T01:20:00,P5001,Heredia,SALE,7
TRX-00207,2026-09-07T13:34:00,P4002,San Jose,RETURN,4
TRX-00208,2026-08-30T12:58:00,P3003,Cartago,RECEIPT,50
TRX-00209,2026-08-05T12:48:00,P1004,Heredia,SALE,7
TRX-00210,2026-08-08T10:44:00,P4002,Cartago,RETURN,4
TRX-00211,2026-09-04T07:03:00,P5002,Cartago,RECEIPT,30
TRX-00212,2026-08-11T18:33:00,P2002,Cartago,SALE,3
TRX-00213,2026-08-08T14:11:00,P3003,San Jose,SALE,3
TRX-00214,2026-08-30T11:15:00,P3003,Cartago,RETURN,5
TRX-00215,2026-08-21T00:40:00,P5002,Cartago,SALE,4
TRX-00216,2026-09-08T16:51:00,P3001,Cartago,SALE,1
TRX-00217,2026-08-04T11:28:00,P5002,Cartago,SALE,3
TRX-00218,2026-08-30T18:16:00,P3003,Cartago,SALE,7
TRX-00219,2026-09-06T17:30:00,P5001,San Jose,SALE,7
TRX-00220,2026-08-25T20:18:00,P1004,Heredia,SALE,6
TRX-00221,2026-08-13T01:00:00,P2001,Heredia,RECEIPT,35
TRX-00222,2026-09-09T04:38:00,P5001,Heredia,SALE,1
TRX-00223,2026-09-03T10:51:00,P3001,San Jose,RETURN,3
TRX-00224,2026-08-28T11:12:00,P3003,Heredia,RETURN,2
TRX-00225,2026-08-28T03:06:00,P2001,Heredia,SALE,3
TRX-00226,2026-08-02T18:37:00,P4001,Cartago,RECEIPT,38
TRX-00227,2026-08-15T06:47:00,P4002,Cartago,RECEIPT,28
TRX-00228,2026-09-07T17:23:00,P1003,Heredia,RECEIPT,44
TRX-00229,2026-08-12T07:58:00,P3002,Cartago,ADJUSTMENT,-3
TRX-00230,2026-09-04T15:07:00,P4003,Cartago,SALE,6
TRX-00231,2026-09-07T00:43:00,P1002,Heredia,RECEIPT,24
TRX-00232,2026-08-16T22:05:00,P4001,Cartago,ADJUSTMENT,3
TRX-00233,2026-08-20T17:23:00,P1001,Heredia,SALE,2
TRX-00234,2026-09-05T10:40:00,P4002,Cartago,SALE,7
TRX-00235,2026-08-02T09:39:00,P1002,Heredia,SALE,8
TRX-00236,2026-08-28T23:04:00,P2002,Heredia,ADJUSTMENT,-2
TRX-00237,2026-08-29T00:26:00,P5001,San Jose,SALE,5
TRX-00238,2026-08-14T07:31:00,P1003,San Jose,RECEIPT,12
TRX-00239,2026-08-07T02:24:00,P1002,Cartago,RECEIPT,44
TRX-00240,2026-08-26T09:47:00,P2002,Heredia,SALE,7
TRX-00241,2026-09-05T21:31:00,P1003,Heredia,RETURN,1
TRX-00242,2026-08-02T17:44:00,P2003,Cartago,ADJUSTMENT,-1
TRX-00243,2026-09-06T19:23:00,P1004,San Jose,SALE,4
TRX-00244,2026-08-03T22:25:00,P4001,Cartago,SALE,6
TRX-00245,2026-08-05T05:42:00,P1004,San Jose,ADJUSTMENT,2
TRX-00246,2026-08-03T11:50:00,P4001,Cartago,SALE,1
TRX-00247,2026-08-10T02:04:00,P1004,Heredia,ADJUSTMENT,4
TRX-00248,2026-08-15T08:49:00,P1004,San Jose,SALE,4
TRX-00249,2026-08-13T03:54:00,P4003,San Jose,ADJUSTMENT,-5
TRX-00250,2026-08-06T00:42:00,P1003,San Jose,SALE,3
TRX-00251,2026-08-26T10:20:00,P1003,San Jose,RECEIPT,25
TRX-00252,2026-09-01T23:26:00,P1003,Heredia,SALE,3
TRX-00253,2026-08-20T11:49:00,P1002,Cartago,SALE,8
TRX-00254,2026-08-22T19:14:00,P3002,Heredia,SALE,8
TRX-00255,2026-08-20T21:41:00,P1001,San Jose,SALE,5
TRX-00256,2026-08-19T12:43:00,P1001,San Jose,ADJUSTMENT,1
TRX-00257,2026-08-04T11:57:00,P3001,San Jose,SALE,8
TRX-00258,2026-08-06T17:17:00,P2002,Heredia,SALE,2
TRX-00259,2026-08-17T14:38:00,P4001,Heredia,SALE,6
TRX-00260,2026-08-05T13:50:00,P2001,Heredia,SALE,7
TRX-00261,2026-09-01T02:55:00,P1002,San Jose,RETURN,5
TRX-00262,2026-08-18T23:21:00,P2003,Cartago,SALE,4
TRX-00263,2026-08-14T16:27:00,P2003,Cartago,SALE,2
TRX-00264,2026-08-30T15:59:00,P4001,Cartago,SALE,3
TRX-00265,2026-08-05T07:27:00,P1002,San Jose,RECEIPT,15
TRX-00266,2026-08-25T01:03:00,P4002,Heredia,SALE,3
TRX-00267,2026-08-18T20:22:00,P3002,Heredia,SALE,2
TRX-00268,2026-09-11T15:18:00,P4003,Heredia,SALE,1
TRX-00269,2026-08-07T22:42:00,P2001,Cartago,SALE,4
TRX-00270,2026-09-06T09:35:00,P1004,Cartago,RETURN,3
TRX-00271,2026-09-04T18:27:00,P1002,Heredia,SALE,4
TRX-00272,2026-08-30T03:41:00,P4003,Heredia,RETURN,5
TRX-00273,2026-08-02T13:11:00,P1001,Cartago,SALE,5
TRX-00274,2026-08-16T07:00:00,P4002,San Jose,SALE,6
TRX-00275,2026-08-04T07:09:00,P5001,Heredia,RECEIPT,35
TRX-00276,2026-09-02T04:33:00,P4001,San Jose,ADJUSTMENT,-4
TRX-00277,2026-08-08T01:23:00,P2003,Cartago,SALE,6
TRX-00278,2026-09-08T00:03:00,P4002,San Jose,SALE,2
TRX-00279,2026-08-30T02:05:00,P1003,Cartago,SALE,1
TRX-00280,2026-08-27T05:28:00,P3001,Cartago,SALE,8
TRX-00281,2026-08-06T04:22:00,P2001,Cartago,RECEIPT,42
TRX-00282,2026-08-23T19:42:00,P1002,Cartago,SALE,8
TRX-00283,2026-08-03T16:00:00,P1001,San Jose,RECEIPT,48
TRX-00284,2026-09-02T22:16:00,P2001,Cartago,ADJUSTMENT,-3
TRX-00285,2026-09-02T04:27:00,P2002,San Jose,RECEIPT,41
TRX-00286,2026-08-22T16:35:00,P1003,Heredia,SALE,4
TRX-00287,2026-09-07T02:47:00,P4003,San Jose,SALE,7
TRX-00288,2026-09-07T02:20:00,P2003,Heredia,RECEIPT,14
TRX-00289,2026-08-13T16:07:00,P2003,Cartago,SALE,7
TRX-00290,2026-09-04T12:39:00,P1001,Cartago,ADJUSTMENT,-3
TRX-00291,2026-08-05T02:27:00,P5001,San Jose,SALE,6
TRX-00292,2026-08-23T16:05:00,P1004,Cartago,SALE,7
TRX-00293,2026-08-10T18:21:00,P5001,San Jose,SALE,6
TRX-00294,2026-08-23T23:32:00,P1002,San Jose,SALE,2
TRX-00295,2026-09-01T08:52:00,P5002,Heredia,SALE,6
TRX-00296,2026-08-07T13:16:00,P5001,San Jose,RECEIPT,16
TRX-00297,2026-08-08T21:49:00,P1003,Heredia,SALE,2
TRX-00298,2026-08-30T09:59:00,P3001,Heredia,SALE,8
TRX-00299,2026-09-07T04:40:00,P4001,Cartago,SALE,6
TRX-00300,2026-08-20T04:40:00,P1003,Cartago,SALE,8
TRX-00301,2026-08-16T08:32:00,P4003,,SALE,1
TRX-00302,2026-08-03T18:23:00,P2001,Cartago,SALE,1
TRX-00303,2026-08-27T13:38:00,P1002,Heredia,SALE,2
TRX-00304,2026-08-20T12:58:00,P2003,Heredia,SALE,1
TRX-00305,2026-08-21T15:32:00,P4001,San Jose,RECEIPT,48
TRX-00306,2026-08-31T19:05:00,P1001,Heredia,SALE,6
TRX-00307,2026-08-31T12:28:00,P4001,Cartago,RECEIPT,25
TRX-00308,2026-08-16T20:23:00,P3002,Cartago,SALE,3
TRX-00309,2026-08-30T07:38:00,P2003,San Jose,SALE,6
TRX-00310,2026-08-04T03:21:00,P4003,San Jose,SALE,6
TRX-00311,2026-08-12T02:46:00,P3002,Heredia,SALE,5
TRX-00312,2026-08-15T13:05:00,P5002,Heredia,SALE,3
TRX-00313,2026-08-14T13:41:00,P4001,Heredia,RECEIPT,32
TRX-00314,2026-08-14T13:35:00,P4001,Cartago,SALE,2
TRX-00315,2026-08-29T22:44:00,P4001,Heredia,SALE,3
TRX-00316,2026-08-28T21:42:00,P4001,Cartago,ADJUSTMENT,-4
TRX-00317,2026-08-14T12:11:00,P3002,San Jose,SALE,6
TRX-00318,2026-08-09T12:14:00,P2002,San Jose,ADJUSTMENT,2
TRX-00319,2026-08-22T23:49:00,P1003,Heredia,RECEIPT,16
TRX-00320,2026-08-29T13:21:00,P5001,Heredia,SALE,1
TRX-00321,2026-08-08T06:11:00,P1003,Heredia,SALE,3
TRX-00322,2026-09-01T02:28:00,P4003,San Jose,SALE,3
TRX-00323,2026-09-11T16:28:00,P2003,Heredia,SALE,4
TRX-00324,2026-08-11T07:34:00,P2001,San Jose,SALE,8
TRX-00325,2026-09-08T21:53:00,P2001,San Jose,ADJUSTMENT,2
TRX-00326,2026-08-21T00:49:00,P2002,Cartago,SALE,8
TRX-00327,2026-09-11T13:10:00,P4003,San Jose,SALE,7
TRX-00328,2026-08-03T13:41:00,P4003,Cartago,SALE,5
TRX-00329,2026-08-31T16:54:00,P5001,Heredia,SALE,2
TRX-00330,2026-09-02T21:10:00,P5001,Cartago,RECEIPT,15
TRX-00331,2026-09-05T18:27:00,P3001,San Jose,ADJUSTMENT,-3
TRX-00332,2026-09-08T01:22:00,P5002,San Jose,RECEIPT,38
TRX-00333,2026-08-17T06:15:00,P2003,Cartago,RECEIPT,42
TRX-00334,2026-08-14T22:59:00,P1002,San Jose,SALE,1
TRX-00335,2026-09-04T02:09:00,P5001,San Jose,SALE,6
TRX-00336,2026-08-31T00:53:00,P1001,San Jose,SALE,8
TRX-00337,2026-08-27T14:00:00,P4003,San Jose,SALE,8
TRX-00338,2026-08-24T17:46:00,P1001,Heredia,SALE,3
TRX-00339,2026-08-11T11:19:00,P3002,San Jose,SALE,5
TRX-00340,2026-09-04T04:39:00,P1001,Cartago,RECEIPT,50
TRX-00341,2026-08-26T19:34:00,P1002,San Jose,RECEIPT,41
TRX-00342,2026-08-31T23:09:00,P4001,Cartago,SALE,4
TRX-00343,2026-08-11T14:36:00,P2003,Cartago,RECEIPT,32
TRX-00344,2026-08-23T16:23:00,P1003,San Jose,SALE,2
TRX-00345,2026-08-17T23:55:00,P3002,Cartago,SALE,1
TRX-00346,2026-08-12T03:47:00,P1001,San Jose,SALE,6
TRX-00347,2026-08-11T14:46:00,P2002,Heredia,SALE,6
TRX-00348,2026-09-01T16:48:00,P4001,Cartago,RECEIPT,47
TRX-00349,2026-08-15T18:52:00,P1003,Heredia,RECEIPT,44
TRX-00350,2026-08-31T00:30:00,P1003,Heredia,RETURN,4
TRX-00351,2026-08-31T21:49:00,P1003,Cartago,RETURN,1
TRX-00352,2026-09-04T02:12:00,P1001,San Jose,SALE,1
TRX-00353,2026-08-18T07:52:00,P2002,Heredia,ADJUSTMENT,3
TRX-00354,2026-08-13T12:22:00,P3001,San Jose,SALE,4
TRX-00355,2026-08-06T15:51:00,P5001,Cartago,SALE,5
TRX-00356,2026-09-08T12:24:00,P2003,Cartago,RETURN,4
TRX-00357,2026-08-17T00:59:00,P1003,Heredia,SALE,8
TRX-00358,2026-08-04T16:27:00,P2001,Heredia,RETURN,4
TRX-00359,2026-08-15T00:06:00,P5001,San Jose,RECEIPT,28
TRX-00360,2026-08-20T08:38:00,P2002,Heredia,SALE,5
TRX-00361,2026-08-16T07:28:00,P2003,San Jose,RECEIPT,38
TRX-00362,2026-08-27T13:27:00,P4002,Cartago,RETURN,3
TRX-00363,2026-08-04T12:42:00,P4001,Heredia,ADJUSTMENT,-5
TRX-00364,2026-09-10T23:01:00,P2003,San Jose,SALE,3
TRX-00365,2026-08-02T19:08:00,P5001,San Jose,SALE,8
TRX-00366,2026-08-16T18:24:00,P1004,Heredia,SALE,6
TRX-00367,2026-09-10T19:23:00,P1001,Cartago,SALE,8
TRX-00368,2026-08-23T22:23:00,P3001,Cartago,SALE,3
TRX-00369,2026-09-11T07:07:00,P2002,San Jose,SALE,4
TRX-00370,2026-08-17T20:58:00,P4002,Heredia,RECEIPT,43
TRX-00371,2026-08-31T08:28:00,P1002,San Jose,SALE,5
TRX-00372,2026-08-09T20:07:00,P3003,San Jose,SALE,8
TRX-00373,2026-09-08T16:45:00,P5001,Cartago,RECEIPT,21
TRX-00374,2026-08-29T19:22:00,P1002,Heredia,RETURN,3
TRX-00375,2026-09-08T08:19:00,P1002,San Jose,SALE,5
TRX-00376,2026-09-04T04:23:00,P4002,Heredia,SALE,3
TRX-00377,2026-09-04T03:08:00,P1004,San Jose,RECEIPT,22
TRX-00378,2026-08-24T23:36:00,P4003,Cartago,SALE,6
TRX-00379,2026-08-06T20:39:00,P3001,San Jose,RETURN,5
TRX-00380,2026-08-23T18:26:00,P1002,Cartago,SALE,8
TRX-00381,2026-09-11T19:20:00,P5001,Heredia,SALE,3
TRX-00382,2026-08-06T19:56:00,P1002,Heredia,SALE,6
